id;code;code_secteur;secteur;code_sous_secteur;sous_secteur;nom;version;date_debut;date_fin;metropole;outre_mer;no_version
BAR-TH-115v20-2;BAR-TH-115;BAR;Bâtiment Résidentiel;TH;Thermique;Isolation d'un réseau hydraulique de chauffage;A20-2;13/03/2016;31/03/2018;1;1;2
BAR-TH-116v17-1;BAR-TH-116;BAR;Bâtiment Résidentiel;TH;Thermique;Plancher chauffant hydraulique à basse température;A17-1;01/01/2015;;1;1;1
BAR-TH-117v14-1;BAR-TH-117;BAR;Bâtiment Résidentiel;TH;Thermique;Robinet thermostatique;A14-1;01/01/2015;;1;1;1
BAR-TH-118v14-1;BAR-TH-118;BAR;Bâtiment Résidentiel;TH;Thermique;Système de régulation par programmation d'intermittence;A14-1;01/01/2015;;1;1;1
BAR-TH-121v16-1;BAR-TH-121;BAR;Bâtiment Résidentiel;TH;Thermique;Système de comptage individuel d'énergie de chauffage;A16-1;01/01/2015;31/03/2018;1;1;1
BAR-TH-121v27-2;BAR-TH-121;BAR;Bâtiment Résidentiel;TH;Thermique;Système de comptage individuel d'énergie de chauffage;A27-2;01/04/2018;31/09/2020;1;1;2
BAR-TH-122v15-1;BAR-TH-122;BAR;Bâtiment Résidentiel;TH;Thermique;Récupérateur de chaleur à condensation;A15-1;01/01/2015;;1;1;1
BAR-TH-123v17-1;BAR-TH-123;BAR;Bâtiment Résidentiel;TH;Thermique;Optimiseur de relance en chauffage collectif;A17-1;01/01/2015;31/12/2023;1;1;1
BAR-TH-123v54-2;BAR-TH-123;BAR;Bâtiment Résidentiel;TH;Thermique;Optimiseur de relance en chauffage collectif;A54-2;01/01/2024;31/06/2028;1;1;2
BAR-TH-124v14-1;BAR-TH-124;BAR;Bâtiment Résidentiel;TH;Thermique;Chauffe-eau solaire individuel (France d'outre mer);A14-1;01/01/2015;04/10/2015;0;1;1
BAR-TH-124v18-2;BAR-TH-124;BAR;Bâtiment Résidentiel;TH;Thermique;Chauffe-eau solaire individuel (France d'outre mer);A18-2;05/10/2015;30/09/2020;0;1;2
BAR-TH-124v35-3;BAR-TH-124;BAR;Bâtiment Résidentiel;TH;Thermique;Chauffe-eau solaire individuel (France d'outre mer);A35-3;01/10/2020;;0;1;3
